Company,File No,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
Cigna Health and Life Insurance Company,{'': 7051458},2023-02-06,2023-03-01,Group,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044905},2022-05-04,2022-08-05,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Furnished Information,1574.94,Closed
Cigna Health and Life Insurance Company,{'': 7055200},2023-06-19,2023-07-11,A & H,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid,705.81,Closed
"Anthem Health Plans, Inc",{'': 7055434},2023-06-29,2023-07-11,A & H,Health Only,Claim Handling,Out of Network Benefits,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7055434},2023-06-29,2023-07-11,A & H,A & H,Claim Handling,Unsatisfactory Settlement,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049280},2022-11-09,2022-12-27,A & H,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7007584},2021-11-02,2021-11-23,A & H,Exchange,Claim Handling,Claim Denial,Compromised Settlement/Resolution,Corrective Action,0.0,Closed
"Anthem Health Plans, Inc",{'': 7055169},2023-06-15,2023-06-30,Group,A & H,Claim Handling,Unsatisfactory Settlement,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Reopened
"Anthem Health Plans, Inc",{'': 7049017},2022-10-31,2022-11-03,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7043980},2022-03-28,2022-06-13,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0.0,Reopened
"Anthem Health Plans, Inc",{'': 7055434},2023-06-29,2023-07-11,Group,A & H,Claim Handling,Out of Network Benefits,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7043980},2022-03-28,2022-06-13,Group,A & H,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Reopened
Cigna Health and Life Insurance Company,{'': 7051458},2023-02-06,2023-03-01,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051458},2023-02-06,2023-03-01,Group,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7055200},2023-06-19,2023-07-11,Group,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid,705.81,Closed
"Anthem Health Plans, Inc",{'': 7055169},2023-06-15,2023-06-30,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Reopened
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,A & H,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,Group,A & H,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7054167},2023-05-09,2023-06-05,A & H,A & H,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7054167},2023-05-09,2023-06-05,A & H,Health Only,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,A & H,A & H,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
State Farm Fire & Casualty Company,{'': 7041285},2021-12-06,2022-03-04,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed
ConnectiCare Inc,{'': 7052437},2023-03-09,2023-03-16,Individual,Health Only,Claim Handling,Medical Necessity Denial,Complaint Withdrawn,Coverage Granted,0.0,Closed
State Farm Fire & Casualty Company,{'': 7019217},2019-05-21,2019-06-07,Homeowners,Homeowners,Claim Handling,Claim Delay,Compromised Settlement/Resolution,Corrective Action,4905.63,Closed
ConnectiCare Inc,{'': 7044659},2022-04-25,2022-05-05,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Claim Settled,Voluntary Reconsideration,0.0,Closed
ConnectiCare Inc,{'': 7044674},2022-04-26,2022-05-26,Group,Health Only,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,0.0,Closed
GEICO General Insurance Company,{'': 7054420},2023-05-18,2023-06-05,Individual Private Passenger,Liability,Claim Handling,After Market Parts/Unsatisfactory Settlement,Claim Settled,Additional Money Received,556.74,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,Group,A & H,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050000},2022-12-09,2023-03-02,Group,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050000},2022-12-09,2023-03-02,A & H,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7048921},2022-10-26,2023-07-11,A & H,A & H,Claim Handling,Provider Contract Issue,Compromised Settlement/Resolution,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7054167},2023-05-09,2023-06-05,A & H,Health Only,Claim Handling,Denial,Insufficient Information,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7054167},2023-05-09,2023-06-05,Group,Health Only,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,Group,Self Funded/ERISA,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
GEICO General Insurance Company,{'': 7054420},2023-05-18,2023-06-05,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Additional Money Received,556.74,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,Group,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,Group,Dental,Claim Handling,Claim Delay,Claim Settled,Voluntary Reconsideration,231.0,Closed
Cigna Health and Life Insurance Company,{'': 7054167},2023-05-09,2023-06-05,Group,A & H,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051130},2023-01-25,2023-03-02,Group,Dental,Claim Handling,Coordination of Benefits,Company Position Substantiated,Claim Paid,282.67,Closed
Cigna Health and Life Insurance Company,{'': 7055200},2023-06-19,2023-07-11,Group,A & H,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid,705.81,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,A & H,Self Funded/ERISA,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7054167},2023-05-09,2023-06-05,Group,Health Only,Claim Handling,Denial,Insufficient Information,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7055200},2023-06-19,2023-07-11,Group,A & H,Claim Handling,Preventive Care,Claim Settled,Claim Paid,705.81,Closed
Cigna Health and Life Insurance Company,{'': 7055200},2023-06-19,2023-07-11,A & H,Health Only,Claim Handling,"Co-pay, Deductible, and Co-Insurance Issues",Claim Settled,Claim Paid,705.81,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7054167},2023-05-09,2023-06-05,A & H,A & H,Claim Handling,Denial,Insufficient Information,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7054167},2023-05-09,2023-06-05,Group,A & H,Claim Handling,Denial,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,Group,Self Funded/ERISA,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054781},2023-06-01,2023-06-05,A & H,Self Funded/ERISA,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050000},2022-12-09,2023-03-02,Group,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050000},2022-12-09,2023-03-02,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7055169},2023-06-15,2023-06-30,A & H,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Reopened
"Anthem Health Plans, Inc",{'': 7055434},2023-06-29,2023-07-11,Group,Health Only,Claim Handling,Out of Network Benefits,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,Group,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,Group,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Health Exchange,Claim Handling,Claim Recoding/Bundling,Insufficient Information,Furnished Information,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054377},2023-05-17,2023-06-06,Individual,Health Only,PolicyHolder Service,Abusive Service,Company Position Substantiated,Furnished Information,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7053879},2023-05-01,2023-06-06,A & H,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,A & H,Self Funded/ERISA,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Health Exchange,PolicyHolder Service,Involuntary Termination by Plan,Insufficient Information,Furnished Information,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Health Exchange,PolicyHolder Service,Involuntary Termination by Plan,Insufficient Information,Furnished Information,0.0,Closed
State Farm Fire & Casualty Company,{'': 7015863},2018-04-04,2018-05-02,Homeowners,Homeowners,Underwriting,Cancellation,Company Position Substantiated,Justified,0.0,Closed
State Farm Fire & Casualty Company,{'': 7015863},2018-04-04,2018-05-02,Homeowners,Homeowners,Underwriting,Cancellation,Company Position Substantiated,Coverage Granted,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Exchange,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,A & H,A & H,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,1544.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Health Exchange,PolicyHolder Service,Policy Service,Insufficient Information,Furnished Information,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7050402},2022-12-29,2023-02-03,Individual Private Passenger,Collision,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Health Only,Claim Handling,Claim Recoding/Bundling,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,A & H,Health Only,Claim Handling,Unsatisfactory Settlement,Claim Settled,Claim Paid,1544.0,Closed
"Anthem Health Plans, Inc",{'': 7051758},2023-02-15,2023-03-03,A & H,A & H,Claim Handling,Provider Contract Issue,Compromised Settlement/Resolution,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,A & H,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Health Only,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7055367},2023-06-26,2023-07-11,Group,Health Only,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,1276.2,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,Group,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,1544.0,Closed
"Anthem Health Plans, Inc",{'': 7051758},2023-02-15,2023-03-03,A & H,Health Only,Claim Handling,Provider Contract Issue,Compromised Settlement/Resolution,Satisfactory Explanation,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054534},2023-05-23,2023-06-06,A & H,Health Only,PolicyHolder Service,Policy Information,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,Group,A & H,Claim Handling,Out of Network Benefits,Claim Settled,Claim Paid,1544.0,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,A & H,A & H,Claim Handling,Unsatisfactory Settlement,Claim Settled,Claim Paid,1544.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Health Only,PolicyHolder Service,Involuntary Termination by Plan,Insufficient Information,Furnished Information,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Exchange,PolicyHolder Service,Involuntary Termination by Plan,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,Group,Health Only,Claim Handling,Unsatisfactory Settlement,Claim Settled,Claim Paid,1544.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Health Exchange,PolicyHolder Service,Policy Service,Insufficient Information,Furnished Information,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7053879},2023-05-01,2023-06-06,Group,Health Only,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7043373},2022-02-27,2022-05-18,Group,Mental Health,Claim Handling,"Co-pay, Deductible, and Co-Insurance Issues",Claim Settled,Class Revised,124.05,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Health Only,PolicyHolder Service,Policy Service,Insufficient Information,Furnished Information,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7053879},2023-05-01,2023-06-06,A & H,A & H,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054534},2023-05-23,2023-06-06,Individual,A & H,Marketing & Sales,Rebating,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,A & H,Health Only,Claim Handling,Out of Network Benefits,Claim Settled,Claim Paid,1544.0,Closed
"Anthem Health Plans, Inc",{'': 7051758},2023-02-15,2023-03-03,A & H,Health Only,Claim Handling,Provider Contract Issue,Compromised Settlement/Resolution,Provider Issue,0.0,Closed
"Anthem Health Plans, Inc",{'': 7051758},2023-02-15,2023-03-03,A & H,A & H,Claim Handling,Provider Contract Issue,Compromised Settlement/Resolution,Provider Issue,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Health Only,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
State Farm Fire & Casualty Company,{'': 7009593},2021-07-14,2021-09-22,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Questionable,6746.59,Closed
State Farm Fire & Casualty Company,{'': 7009593},2021-07-14,2021-09-22,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Corrective Action,6746.59,Closed
Cigna Health and Life Insurance Company,{'': 7049887},2022-12-06,2022-12-27,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Reopened
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,Group,A & H,Claim Handling,Fraud,Claim Reopened,Claim Paid,811.5,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,Group,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,A & H,A & H,Claim Handling,Unsatisfactory Settlement,Claim Reopened,Claim Paid,811.5,Closed
"ConnectiCare Benefits, Inc.",{'': 7054534},2023-05-23,2023-06-06,Individual,Health Only,PolicyHolder Service,Policy Information,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Exchange,PolicyHolder Service,Policy Service,Insufficient Information,Furnished Information,0.0,Closed
State Farm Fire & Casualty Company,{'': 7019217},2019-05-21,2019-06-07,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Compromised Settlement/Resolution,Justified,4905.63,Closed
State Farm Fire & Casualty Company,{'': 7019217},2019-05-21,2019-06-07,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Compromised Settlement/Resolution,Corrective Action,4905.63,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Health Only,Claim Handling,Claim Recoding/Bundling,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,A & H,A & H,Claim Handling,Out of Network Benefits,Claim Settled,Claim Paid,1544.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,Group,Health Only,Claim Handling,Unsatisfactory Settlement,Claim Reopened,Claim Paid,811.5,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Health Exchange,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054534},2023-05-23,2023-06-06,A & H,Health Only,Marketing & Sales,Rebating,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,Group,Self Funded/ERISA,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,Group,A & H,Claim Handling,Coordination of Benefits,Claim Reopened,Claim Paid,811.5,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Health Only,PolicyHolder Service,Policy Service,Insufficient Information,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7049887},2022-12-06,2022-12-27,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0.0,Reopened
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Exchange,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,A & H,A & H,Claim Handling,Coordination of Benefit,Claim Reopened,Claim Paid,811.5,Closed
State Farm Fire & Casualty Company,{'': 7019525},2019-03-29,2019-05-03,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Compromised Settlement/Resolution,Justified,6210.01,Closed
State Farm Fire & Casualty Company,{'': 7019525},2019-03-29,2019-05-03,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Compromised Settlement/Resolution,Corrective Action,6210.01,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,Group,A & H,Claim Handling,Unsatisfactory Settlement,Claim Settled,Claim Paid,1544.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,A & H,A & H,Claim Handling,Fraud,Claim Reopened,Claim Paid,811.5,Closed
State Farm Fire & Casualty Company,{'': 7020246},2019-09-16,2019-10-30,Commercial,Commercial Auto,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Satisfactory Explanation,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054534},2023-05-23,2023-06-06,A & H,A & H,PolicyHolder Service,Policy Information,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,A & H,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,A & H,A & H,Claim Handling,Coordination of Benefits,Claim Reopened,Claim Paid,811.5,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,Group,A & H,Claim Handling,Coordination of Benefit,Claim Reopened,Claim Paid,811.5,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,Group,A & H,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,1544.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,Group,Self Funded/ERISA,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,A & H,Health Only,Claim Handling,Coordination of Benefits,Claim Reopened,Claim Paid,811.5,Closed
"ConnectiCare Benefits, Inc.",{'': 7054534},2023-05-23,2023-06-06,A & H,A & H,Marketing & Sales,Rebating,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Health Exchange,Claim Handling,Claim Denial,Insufficient Information,Furnished Information,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Exchange,PolicyHolder Service,Policy Service,Insufficient Information,Furnished Information,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7053879},2023-05-01,2023-06-06,Group,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,Group,Health Only,Claim Handling,Coordination of Benefits,Claim Reopened,Claim Paid,811.5,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,A & H,Health Only,Claim Handling,Coordination of Benefit,Claim Reopened,Claim Paid,811.5,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,Group,Health Only,Claim Handling,Out of Network Benefits,Claim Settled,Claim Paid,1544.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054534},2023-05-23,2023-06-06,Individual,A & H,PolicyHolder Service,Policy Information,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054382},2023-05-17,2023-06-06,A & H,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,1544.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7053879},2023-05-01,2023-06-06,Group,A & H,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054534},2023-05-23,2023-06-06,Individual,Health Only,Marketing & Sales,Rebating,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,Group,A & H,Claim Handling,Unsatisfactory Settlement,Claim Reopened,Claim Paid,811.5,Closed
"ConnectiCare Insurance Company, Inc",{'': 7053879},2023-05-01,2023-06-06,A & H,Health Only,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Exchange,Claim Handling,Claim Recoding/Bundling,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,A & H,Self Funded/ERISA,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Health Exchange,Claim Handling,Claim Recoding/Bundling,Insufficient Information,Furnished Information,0.0,Closed
State Farm Fire & Casualty Company,{'': 7004946},2020-11-09,2020-11-30,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Unjustified,0.0,Closed
State Farm Fire & Casualty Company,{'': 7004946},2020-11-09,2020-11-30,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,Individual,Exchange,Claim Handling,Claim Recoding/Bundling,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,Group,Health Only,Claim Handling,Fraud,Claim Reopened,Claim Paid,811.5,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,A & H,Health Only,Claim Handling,Fraud,Claim Reopened,Claim Paid,811.5,Closed
"ConnectiCare Insurance Company, Inc",{'': 7053879},2023-05-01,2023-06-06,Group,A & H,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7053879},2023-05-01,2023-06-06,A & H,A & H,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7054150},2023-05-09,2023-06-06,A & H,Exchange,PolicyHolder Service,Involuntary Termination by Plan,Insufficient Information,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7054114},2023-05-09,2023-06-06,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050920},2023-01-19,2023-03-06,Group,Health Only,Claim Handling,Coordination of Benefit,Claim Reopened,Claim Paid,811.5,Closed
